SAMPLE_UID	SAMPLE_NAME	DESIGNATION	PARENT_A	PARENT_B	GENERATION
4TJASrjQjbfVv	KLSORG23A-0182:1	KLSORG23A-0182	Localmakueni	TZ2Local	F1
4TJASxNzhzAhD	KLSORG23A-0182:2	KLSORG23A-0182	Localmakueni	TZ2Local	F1
4TJASTg0bixSR	KLSORG23A-0182:3	KLSORG23A-0182	Localmakueni	TZ2Local	F1
4TJASiEeoLUbQ	KLSORG23A-0182:4	KLSORG23A-0182	Localmakueni	TZ2Local	F1
4TJASM4IEy8IE	KLSORG23A-0182:5	KLSORG23A-0182	Localmakueni	TZ2Local	F1
4TJASyW7vprsw	KLSORG23A-0182:6	KLSORG23A-0182	Localmakueni	TZ2Local	F1
4TJAScCaPUA7F	KLSORG23A-0182:7	KLSORG23A-0182	Localmakueni	TZ2Local	F1
4TJASuLHekyQ7	KLSORG23A-0182:8	KLSORG23A-0182	Localmakueni	TZ2Local	F1
4TJASqGsyPtvp	KLSORG23A-0183:1	KLSORG23A-0183	Makuenilocal	Gadam_KEN	F1
4TJASEDmxoSot	KLSORG23A-0185:1	KLSORG23A-0185	Seredo	P9401-KEN	F1
4TJAS6eb0xEzL	KLSORG23A-0185:2	KLSORG23A-0185	Seredo	P9401-KEN	F1
4TJASzu2HO486	KLSORG23A-0185:3	KLSORG23A-0185	Seredo	P9401-KEN	F1
4TJASZTh02bBB	KLSORG23A-0184:1	KLSORG23A-0184	Seredo	K9219	F1
4TJASAOcY1PPb	KLSORG23A-0184:3	KLSORG23A-0184	Seredo	K9219	F1
4TJASN9FUfiQs	KLSORG23A-0192:1	KLSORG23A-0192	Serena	P9401-KEN	F1
4TJASciq95gpi	KLSORG23A-0192:2	KLSORG23A-0192	Serena	P9401-KEN	F1
4TJASHktaTsRg	KLSORG23A-0188:8	KLSORG23A-0188	Seredo	P9405-KEN	F1
4TJASqs0qbLt3	KLSORG23A-0188:2	KLSORG23A-0188	Seredo	P9405-KEN	F1
4TJASX8yvD0FN	KLSORG23A-0188:3	KLSORG23A-0188	Seredo	P9405-KEN	F1
4TJASLP25bARW	KLSORG23A-0188:5	KLSORG23A-0188	Seredo	P9405-KEN	F1
4TJASD1FaNOGc	KLSORG23A-0188:6	KLSORG23A-0188	Seredo	P9405-KEN	F1
